Question Title,Difficulty,URL,Total Accepted,Total Submissions,Paid Only
Create Sorted Array through Instructions,Hard,https://leetcode.com/problems/create-sorted-array-through-instructions/,28255,71160,No
Sell Diminishing-Valued Colored Balls,Medium,https://leetcode.com/problems/sell-diminishing-valued-colored-balls/,39733,132760,No
Minimum Deletions to Make Character Frequencies Unique,Medium,https://leetcode.com/problems/minimum-deletions-to-make-character-frequencies-unique/,284911,465093,No
Get Maximum in Generated Array,Easy,https://leetcode.com/problems/get-maximum-in-generated-array/,115866,227683,No
Design Front Middle Back Queue,Medium,https://leetcode.com/problems/design-front-middle-back-queue/,34254,60058,No
Minimum Number of Removals to Make Mountain Array,Hard,https://leetcode.com/problems/minimum-number-of-removals-to-make-mountain-array/,113860,207046,No
Merge In Between Linked Lists,Medium,https://leetcode.com/problems/merge-in-between-linked-lists/,240928,293143,No
Maximum Repeating Substring,Easy,https://leetcode.com/problems/maximum-repeating-substring/,75680,192713,No
Furthest Building You Can Reach,Medium,https://leetcode.com/problems/furthest-building-you-can-reach/,247189,492229,No
Count Sorted Vowel Strings,Medium,https://leetcode.com/problems/count-sorted-vowel-strings/,195282,247853,No
Check Array Formation Through Concatenation,Easy,https://leetcode.com/problems/check-array-formation-through-concatenation/,87213,153271,No
Distribute Repeating Integers,Hard,https://leetcode.com/problems/distribute-repeating-integers/,18080,45680,No
Minimum Jumps to Reach Home,Medium,https://leetcode.com/problems/minimum-jumps-to-reach-home/,48205,160755,No
Minimum Deletions to Make String Balanced,Medium,https://leetcode.com/problems/minimum-deletions-to-make-string-balanced/,170455,259884,No
Defuse the Bomb,Easy,https://leetcode.com/problems/defuse-the-bomb/,180729,227991,No
Path With Minimum Effort,Medium,https://leetcode.com/problems/path-with-minimum-effort/,329044,539991,No
Arithmetic Subarrays,Medium,https://leetcode.com/problems/arithmetic-subarrays/,146269,174792,No
Slowest Key,Easy,https://leetcode.com/problems/slowest-key/,108489,183188,No
Best Team With No Conflicts,Medium,https://leetcode.com/problems/best-team-with-no-conflicts/,90099,178916,No
Lexicographically Smallest String After Applying Operations,Medium,https://leetcode.com/problems/lexicographically-smallest-string-after-applying-operations/,17797,27438,No
Largest Substring Between Two Equal Characters,Easy,https://leetcode.com/problems/largest-substring-between-two-equal-characters/,167737,245480,No
Number of Ways to Form a Target String Given a Dictionary,Hard,https://leetcode.com/problems/number-of-ways-to-form-a-target-string-given-a-dictionary/,126885,221866,No
Count Substrings That Differ by One Character,Medium,https://leetcode.com/problems/count-substrings-that-differ-by-one-character/,33931,47448,No
Widest Vertical Area Between Two Points Containing No Points,Easy,https://leetcode.com/problems/widest-vertical-area-between-two-points-containing-no-points/,185688,213298,No
Sort Array by Increasing Frequency,Easy,https://leetcode.com/problems/sort-array-by-increasing-frequency/,302137,377074,No
Count Subtrees With Max Distance Between Cities,Hard,https://leetcode.com/problems/count-subtrees-with-max-distance-between-cities/,12705,19023,No
Split Two Strings to Make Palindrome,Medium,https://leetcode.com/problems/split-two-strings-to-make-palindrome/,28215,90251,No
Maximal Network Rank,Medium,https://leetcode.com/problems/maximal-network-rank/,154908,237009,No
Maximum Nesting Depth of the Parentheses,Easy,https://leetcode.com/problems/maximum-nesting-depth-of-the-parentheses/,423421,502864,No
Bank Account Summary II,Easy,https://leetcode.com/problems/bank-account-summary-ii/,127234,152608,No
Maximum Number of Visible Points,Hard,https://leetcode.com/problems/maximum-number-of-visible-points/,45764,122038,No
Minimum One Bit Operations to Make Integers Zero,Hard,https://leetcode.com/problems/minimum-one-bit-operations-to-make-integers-zero/,62556,85347,No
Even Odd Tree,Medium,https://leetcode.com/problems/even-odd-tree/,177872,267666,No
Special Array With X Elements Greater Than or Equal X,Easy,https://leetcode.com/problems/special-array-with-x-elements-greater-than-or-equal-x/,215478,323619,No
Fancy Sequence,Hard,https://leetcode.com/problems/fancy-sequence/,13407,74018,No
Cat and Mouse II,Hard,https://leetcode.com/problems/cat-and-mouse-ii/,8115,20528,No
Coordinate With Maximum Network Quality,Medium,https://leetcode.com/problems/coordinate-with-maximum-network-quality/,10021,26277,No
Number of Sets of K Non-Overlapping Line Segments,Medium,https://leetcode.com/problems/number-of-sets-of-k-non-overlapping-line-segments/,11443,25774,No
Customer Who Visited but Did Not Make Any Transactions,Easy,https://leetcode.com/problems/customer-who-visited-but-did-not-make-any-transactions/,791571,1173471,No
Maximum Number of Achievable Transfer Requests,Hard,https://leetcode.com/problems/maximum-number-of-achievable-transfer-requests/,59670,92595,No
Throne Inheritance,Medium,https://leetcode.com/problems/throne-inheritance/,20992,31550,No
Maximum Profit of Operating a Centennial Wheel,Medium,https://leetcode.com/problems/maximum-profit-of-operating-a-centennial-wheel/,13912,31773,No
Crawler Log Folder,Easy,https://leetcode.com/problems/crawler-log-folder/,266380,372008,No
Minimum Cost to Connect Two Groups of Points,Hard,https://leetcode.com/problems/minimum-cost-to-connect-two-groups-of-points/,10431,21699,No
Maximum Non Negative Product in a Matrix,Medium,https://leetcode.com/problems/maximum-non-negative-product-in-a-matrix/,27528,80010,No
Split a String Into the Max Number of Unique Substrings,Medium,https://leetcode.com/problems/split-a-string-into-the-max-number-of-unique-substrings/,140682,206037,No
Rearrange Spaces Between Words,Easy,https://leetcode.com/problems/rearrange-spaces-between-words/,64986,148053,No
Find Valid Matrix Given Row and Column Sums,Medium,https://leetcode.com/problems/find-valid-matrix-given-row-and-column-sums/,154358,186282,No
Find Servers That Handled Most Number of Requests,Hard,https://leetcode.com/problems/find-servers-that-handled-most-number-of-requests/,19913,45515,No
Alert Using Same Key-Card Three or More Times in a One Hour Period,Medium,https://leetcode.com/problems/alert-using-same-key-card-three-or-more-times-in-a-one-hour-period/,41810,91013,No
Design Parking System,Easy,https://leetcode.com/problems/design-parking-system/,314129,356774,No
Check If String Is Transformable With Substring Sort Operations,Hard,https://leetcode.com/problems/check-if-string-is-transformable-with-substring-sort-operations/,9876,20494,No
Min Cost to Connect All Points,Medium,https://leetcode.com/problems/min-cost-to-connect-all-points/,362697,529313,No
Count Unhappy Friends,Medium,https://leetcode.com/problems/count-unhappy-friends/,31487,50896,No
Special Positions in a Binary Matrix,Easy,https://leetcode.com/problems/special-positions-in-a-binary-matrix/,156150,227417,No
Remove Max Number of Edges to Keep Graph Fully Traversable,Hard,https://leetcode.com/problems/remove-max-number-of-edges-to-keep-graph-fully-traversable/,135968,192950,No
Minimum Time to Make Rope Colorful,Medium,https://leetcode.com/problems/minimum-time-to-make-rope-colorful/,272954,430035,No
Number of Ways Where Square of Number Is Equal to Product of Two Numbers,Medium,https://leetcode.com/problems/number-of-ways-where-square-of-number-is-equal-to-product-of-two-numbers/,23493,56261,No
Replace All ?'s to Avoid Consecutive Repeating Characters,Easy,https://leetcode.com/problems/replace-all-s-to-avoid-consecutive-repeating-characters/,66815,147770,No
Strange Printer II,Hard,https://leetcode.com/problems/strange-printer-ii/,13463,22590,No
Maximum Sum Obtained of Any Permutation,Medium,https://leetcode.com/problems/maximum-sum-obtained-of-any-permutation/,24047,61755,No
Make Sum Divisible by P,Medium,https://leetcode.com/problems/make-sum-divisible-by-p/,139375,352870,No
Sum of All Odd Length Subarrays,Easy,https://leetcode.com/problems/sum-of-all-odd-length-subarrays/,223096,267394,No
Number of Ways to Reorder Array to Get Same BST,Hard,https://leetcode.com/problems/number-of-ways-to-reorder-array-to-get-same-bst/,58780,109924,No
Minimum Number of Days to Disconnect Island,Hard,https://leetcode.com/problems/minimum-number-of-days-to-disconnect-island/,94241,159257,No
Maximum Length of Subarray With Positive Product,Medium,https://leetcode.com/problems/maximum-length-of-subarray-with-positive-product/,102627,231520,No
Detect Pattern of Length M Repeated K or More Times,Easy,https://leetcode.com/problems/detect-pattern-of-length-m-repeated-k-or-more-times/,40034,92239,No
Stone Game V,Hard,https://leetcode.com/problems/stone-game-v/,22989,56037,No
Find Latest Group of Size M,Medium,https://leetcode.com/problems/find-latest-group-of-size-m/,19887,46408,No
Maximum Number of Coins You Can Get,Medium,https://leetcode.com/problems/maximum-number-of-coins-you-can-get/,179865,213115,No
Most Visited Sector in  a Circular Track,Easy,https://leetcode.com/problems/most-visited-sector-in-a-circular-track/,35783,60714,No
Count All Possible Routes,Hard,https://leetcode.com/problems/count-all-possible-routes/,61535,94713,No
Shortest Subarray to be Removed to Make Array Sorted,Medium,https://leetcode.com/problems/shortest-subarray-to-be-removed-to-make-array-sorted/,117685,228393,No
Number of Ways to Split a String,Medium,https://leetcode.com/problems/number-of-ways-to-split-a-string/,32764,97215,No
Matrix Diagonal Sum,Easy,https://leetcode.com/problems/matrix-diagonal-sum/,424920,508367,No
Minimum Number of Days to Eat N Oranges,Hard,https://leetcode.com/problems/minimum-number-of-days-to-eat-n-oranges/,40229,113158,No
Magnetic Force Between Two Balls,Medium,https://leetcode.com/problems/magnetic-force-between-two-balls/,185845,261155,No
Minimum Operations to Make Array Equal,Medium,https://leetcode.com/problems/minimum-operations-to-make-array-equal/,106888,130000,No
Patients With a Condition,Easy,https://leetcode.com/problems/patients-with-a-condition/,321424,815750,No
Minimum Cost to Cut a Stick,Hard,https://leetcode.com/problems/minimum-cost-to-cut-a-stick/,162356,262713,No
Find Longest Awesome Substring,Hard,https://leetcode.com/problems/find-longest-awesome-substring/,17251,38392,No
Find Kth Bit in Nth Binary String,Medium,https://leetcode.com/problems/find-kth-bit-in-nth-binary-string/,159206,226830,No
Make The String Great,Easy,https://leetcode.com/problems/make-the-string-great/,354933,520415,No
Find Users With Valid E-Mails,Easy,https://leetcode.com/problems/find-users-with-valid-e-mails/,197249,445949,No
Detect Cycles in 2D Grid,Medium,https://leetcode.com/problems/detect-cycles-in-2d-grid/,50940,102362,No
Minimum Numbers of Function Calls to Make Target Array,Medium,https://leetcode.com/problems/minimum-numbers-of-function-calls-to-make-target-array/,23646,37844,No
Minimum Number of Vertices to Reach All Nodes,Medium,https://leetcode.com/problems/minimum-number-of-vertices-to-reach-all-nodes/,202729,250083,No
Thousand Separator,Easy,https://leetcode.com/problems/thousand-separator/,59705,111585,No
Get the Maximum Score,Hard,https://leetcode.com/problems/get-the-maximum-score/,30736,77207,No
Minimum Swaps to Arrange a Binary Grid,Medium,https://leetcode.com/problems/minimum-swaps-to-arrange-a-binary-grid/,16725,35074,No
Find the Winner of an Array Game,Medium,https://leetcode.com/problems/find-the-winner-of-an-array-game/,119617,210767,No
Count Good Triplets,Easy,https://leetcode.com/problems/count-good-triplets/,137353,167926,No
Number of Good Leaf Nodes Pairs,Medium,https://leetcode.com/problems/number-of-good-leaf-nodes-pairs/,154394,215106,No
Minimum Suffix Flips,Medium,https://leetcode.com/problems/minimum-suffix-flips/,59880,81561,No
Shuffle String,Easy,https://leetcode.com/problems/shuffle-string/,438479,515504,No
Maximum Number of Non-Overlapping Subarrays With Sum Equals Target,Medium,https://leetcode.com/problems/maximum-number-of-non-overlapping-subarrays-with-sum-equals-target/,31497,65860,No
Minimum Insertions to Balance a Parentheses String,Medium,https://leetcode.com/problems/minimum-insertions-to-balance-a-parentheses-string/,73676,138868,No
Can Convert String in K Moves,Medium,https://leetcode.com/problems/can-convert-string-in-k-moves/,22206,62169,No
Kth Missing Positive Number,Easy,https://leetcode.com/problems/kth-missing-positive-number/,607601,981241,No
Find a Value of a Mysterious Function Closest to Target,Hard,https://leetcode.com/problems/find-a-value-of-a-mysterious-function-closest-to-target/,12094,26562,No
Maximum Number of Non-Overlapping Substrings,Hard,https://leetcode.com/problems/maximum-number-of-non-overlapping-substrings/,20069,50796,No
Number of Nodes in the Sub-Tree With the Same Label,Medium,https://leetcode.com/problems/number-of-nodes-in-the-sub-tree-with-the-same-label/,88230,160472,No
Water Bottles,Easy,https://leetcode.com/problems/water-bottles/,257170,363177,No
Best Position for a Service Centre,Hard,https://leetcode.com/problems/best-position-for-a-service-centre/,16806,48369,No
String Compression II,Hard,https://leetcode.com/problems/string-compression-ii/,102059,196205,No
Number of Substrings With Only 1s,Medium,https://leetcode.com/problems/number-of-substrings-with-only-1s/,51462,108153,No
Number of Good Pairs,Easy,https://leetcode.com/problems/number-of-good-pairs/,909046,1015587,No
Minimum Number of Increments on Subarrays to Form a Target Array,Hard,https://leetcode.com/problems/minimum-number-of-increments-on-subarrays-to-form-a-target-array/,60031,83388,No
Number of Good Ways to Split a String,Medium,https://leetcode.com/problems/number-of-good-ways-to-split-a-string/,113694,166505,No
Number of Sub-arrays With Odd Sum,Medium,https://leetcode.com/problems/number-of-sub-arrays-with-odd-sum/,160762,286687,No
Count Odd Numbers in an Interval Range,Easy,https://leetcode.com/problems/count-odd-numbers-in-an-interval-range/,367834,731352,No
Minimum Possible Integer After at Most K Adjacent Swaps On Digits,Hard,https://leetcode.com/problems/minimum-possible-integer-after-at-most-k-adjacent-swaps-on-digits/,11436,28760,No
Count Submatrices With All Ones,Medium,https://leetcode.com/problems/count-submatrices-with-all-ones/,57471,100535,No
Last Moment Before All Ants Fall Out of a Plank,Medium,https://leetcode.com/problems/last-moment-before-all-ants-fall-out-of-a-plank/,93228,136680,No
Can Make Arithmetic Progression From Sequence,Easy,https://leetcode.com/problems/can-make-arithmetic-progression-from-sequence/,271421,391024,No
Group Sold Products By The Date,Easy,https://leetcode.com/problems/group-sold-products-by-the-date/,299252,385564,No
Max Value of Equation,Hard,https://leetcode.com/problems/max-value-of-equation/,49202,110772,No
Number of Subsequences That Satisfy the Given Sum Condition,Medium,https://leetcode.com/problems/number-of-subsequences-that-satisfy-the-given-sum-condition/,139972,319611,No
Check If Array Pairs Are Divisible by k,Medium,https://leetcode.com/problems/check-if-array-pairs-are-divisible-by-k/,195838,423836,No
Path Crossing,Easy,https://leetcode.com/problems/path-crossing/,179410,286965,No
Stone Game IV,Hard,https://leetcode.com/problems/stone-game-iv/,78199,131529,No
Minimum Difference Between Largest and Smallest Value in Three Moves,Medium,https://leetcode.com/problems/minimum-difference-between-largest-and-smallest-value-in-three-moves/,243549,411543,No
Range Sum of Sorted Subarray Sums,Medium,https://leetcode.com/problems/range-sum-of-sorted-subarray-sums/,178255,282387,No
Find Critical and Pseudo-Critical Edges in Minimum Spanning Tree,Hard,https://leetcode.com/problems/find-critical-and-pseudo-critical-edges-in-minimum-spanning-tree/,61052,91811,No
Avoid Flood in The City,Medium,https://leetcode.com/problems/avoid-flood-in-the-city/,39846,146226,No
Making File Names Unique,Medium,https://leetcode.com/problems/making-file-names-unique/,36376,96464,No
XOR Operation in an Array,Easy,https://leetcode.com/problems/xor-operation-in-an-array/,222767,257010,No
Minimum Number of Days to Make m Bouquets,Medium,https://leetcode.com/problems/minimum-number-of-days-to-make-m-bouquets/,339636,614116,No
Least Number of Unique Integers after K Removals,Medium,https://leetcode.com/problems/least-number-of-unique-integers-after-k-removals/,262761,415094,No
Running Sum of 1d Array,Easy,https://leetcode.com/problems/running-sum-of-1d-array/,2042521,2348987,No
Parallel Courses II,Hard,https://leetcode.com/problems/parallel-courses-ii/,21671,73502,No
Longest Subarray of 1's After Deleting One Element,Medium,https://leetcode.com/problems/longest-subarray-of-1s-after-deleting-one-element/,402059,583522,No
The kth Factor of n,Medium,https://leetcode.com/problems/the-kth-factor-of-n/,317069,457052,No
Average Salary Excluding the Minimum and Maximum Salary,Easy,https://leetcode.com/problems/average-salary-excluding-the-minimum-and-maximum-salary/,364223,574129,No
Paint House III,Hard,https://leetcode.com/problems/paint-house-iii/,66749,109502,No
Design Browser History,Medium,https://leetcode.com/problems/design-browser-history/,281742,361332,No
The k Strongest Values in an Array,Medium,https://leetcode.com/problems/the-k-strongest-values-in-an-array/,42560,68941,No
Shuffle the Array,Easy,https://leetcode.com/problems/shuffle-the-array/,783531,882416,No
Probability of a Two Boxes Having The Same Number of Distinct Balls,Hard,https://leetcode.com/problems/probability-of-a-two-boxes-having-the-same-number-of-distinct-balls/,9900,16477,No
Reorder Routes to Make All Paths Lead to the City Zero,Medium,https://leetcode.com/problems/reorder-routes-to-make-all-paths-lead-to-the-city-zero/,254078,392251,No
Maximum Area of a Piece of Cake After Horizontal and Vertical Cuts,Medium,https://leetcode.com/problems/maximum-area-of-a-piece-of-cake-after-horizontal-and-vertical-cuts/,171558,416658,No
Maximum Product of Two Elements in an Array,Easy,https://leetcode.com/problems/maximum-product-of-two-elements-in-an-array/,426654,513321,No
Find Two Non-overlapping Sub-arrays Each With Target Sum,Medium,https://leetcode.com/problems/find-two-non-overlapping-sub-arrays-each-with-target-sum/,51238,140618,No
Subrectangle Queries,Medium,https://leetcode.com/problems/subrectangle-queries/,119592,135409,No
Allocate Mailboxes,Hard,https://leetcode.com/problems/allocate-mailboxes/,29262,52556,No
Final Prices With a Special Discount in a Shop,Easy,https://leetcode.com/problems/final-prices-with-a-special-discount-in-a-shop/,308784,371243,No
Max Dot Product of Two Subsequences,Hard,https://leetcode.com/problems/max-dot-product-of-two-subsequences/,81716,131130,No
Pseudo-Palindromic Paths in a Binary Tree,Medium,https://leetcode.com/problems/pseudo-palindromic-paths-in-a-binary-tree/,227069,332387,No
Maximum Number of Vowels in a Substring of Given Length,Medium,https://leetcode.com/problems/maximum-number-of-vowels-in-a-substring-of-given-length/,500842,834785,No
Check If a Word Occurs As a Prefix of Any Word in a Sentence,Easy,https://leetcode.com/problems/check-if-a-word-occurs-as-a-prefix-of-any-word-in-a-sentence/,218212,317355,No
Maximum Number of Darts Inside of a Circular Dartboard,Hard,https://leetcode.com/problems/maximum-number-of-darts-inside-of-a-circular-dartboard/,7154,18968,No
People Whose List of Favorite Companies Is Not a Subset of Another List,Medium,https://leetcode.com/problems/people-whose-list-of-favorite-companies-is-not-a-subset-of-another-list/,29853,50658,No
Rearrange Words in a Sentence,Medium,https://leetcode.com/problems/rearrange-words-in-a-sentence/,57700,87972,No
Number of Students Doing Homework at a Given Time,Easy,https://leetcode.com/problems/number-of-students-doing-homework-at-a-given-time/,136226,180104,No
Cherry Pickup II,Hard,https://leetcode.com/problems/cherry-pickup-ii/,190402,265004,No
Course Schedule IV,Medium,https://leetcode.com/problems/course-schedule-iv/,173395,291109,No
Check If a String Contains All Binary Codes of Size K,Medium,https://leetcode.com/problems/check-if-a-string-contains-all-binary-codes-of-size-k/,131584,232629,No
Make Two Arrays Equal by Reversing Subarrays,Easy,https://leetcode.com/problems/make-two-arrays-equal-by-reversing-subarrays/,314484,414811,No
Number of Ways of Cutting a Pizza,Hard,https://leetcode.com/problems/number-of-ways-of-cutting-a-pizza/,71953,116668,No
Minimum Time to Collect All Apples in a Tree,Medium,https://leetcode.com/problems/minimum-time-to-collect-all-apples-in-a-tree/,138646,220758,No
Count Triplets That Can Form Two Arrays of Equal XOR,Medium,https://leetcode.com/problems/count-triplets-that-can-form-two-arrays-of-equal-xor/,132534,156300,No
Build an Array With Stack Operations,Medium,https://leetcode.com/problems/build-an-array-with-stack-operations/,179700,224351,No
Find the Kth Smallest Sum of a Matrix With Sorted Rows,Hard,https://leetcode.com/problems/find-the-kth-smallest-sum-of-a-matrix-with-sorted-rows/,38822,62753,No
Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,Medium,https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit/,260538,460198,No
Check If All 1's Are at Least Length K Places Away,Easy,https://leetcode.com/problems/check-if-all-1s-are-at-least-length-k-places-away/,86492,149082,No
Destination City,Easy,https://leetcode.com/problems/destination-city/,298333,375617,No
Form Largest Integer With Digits That Add up to Target,Hard,https://leetcode.com/problems/form-largest-integer-with-digits-that-add-up-to-target/,20696,42682,No
Count Good Nodes in Binary Tree,Medium,https://leetcode.com/problems/count-good-nodes-in-binary-tree/,683882,932421,No
Simplified Fractions,Medium,https://leetcode.com/problems/simplified-fractions/,38649,56845,No
Consecutive Characters,Easy,https://leetcode.com/problems/consecutive-characters/,191865,319414,No
Top Travellers,Easy,https://leetcode.com/problems/top-travellers/,158014,276382,No
Diagonal Traverse II,Medium,https://leetcode.com/problems/diagonal-traverse-ii/,160588,277829,No
Maximum Points You Can Obtain from Cards,Medium,https://leetcode.com/problems/maximum-points-you-can-obtain-from-cards/,367753,667962,No
Maximum Score After Splitting a String,Easy,https://leetcode.com/problems/maximum-score-after-splitting-a-string/,346557,531783,No
Build Array Where You Can Find The Maximum Exactly K Comparisons,Hard,https://leetcode.com/problems/build-array-where-you-can-find-the-maximum-exactly-k-comparisons/,67754,101077,No
Minimum Number of Frogs Croaking,Medium,https://leetcode.com/problems/minimum-number-of-frogs-croaking/,56886,112307,No
Display Table of Food Orders in a Restaurant,Medium,https://leetcode.com/problems/display-table-of-food-orders-in-a-restaurant/,33175,43945,No
Reformat The String,Easy,https://leetcode.com/problems/reformat-the-string/,64689,124403,No
Number of Ways to Wear Different Hats to Each Other,Hard,https://leetcode.com/problems/number-of-ways-to-wear-different-hats-to-each-other/,17321,39232,No
Check If a String Can Break Another String,Medium,https://leetcode.com/problems/check-if-a-string-can-break-another-string/,47984,68437,No
Max Difference You Can Get From Changing an Integer,Medium,https://leetcode.com/problems/max-difference-you-can-get-from-changing-an-integer/,20593,51157,No
Kids With the Greatest Number of Candies,Easy,https://leetcode.com/problems/kids-with-the-greatest-number-of-candies/,1238195,1406182,No
Number of Ways to Paint N × 3 Grid,Hard,https://leetcode.com/problems/number-of-ways-to-paint-n-3-grid/,37427,58318,No
HTML Entity Parser,Medium,https://leetcode.com/problems/html-entity-parser/,28204,56137,No
Queries on a Permutation With Key,Medium,https://leetcode.com/problems/queries-on-a-permutation-with-key/,54490,64525,No
String Matching in an Array,Easy,https://leetcode.com/problems/string-matching-in-an-array/,262382,375611,No
Capital Gain/Loss,Medium,https://leetcode.com/problems/capital-gainloss/,133387,156911,No
Stone Game III,Hard,https://leetcode.com/problems/stone-game-iii/,98877,156391,No
Number of Steps to Reduce a Number in Binary Representation to One,Medium,https://leetcode.com/problems/number-of-steps-to-reduce-a-number-in-binary-representation-to-one/,152010,247591,No
Minimum Subsequence in Non-Increasing Order,Easy,https://leetcode.com/problems/minimum-subsequence-in-non-increasing-order/,81098,111385,No
Restore The Array,Hard,https://leetcode.com/problems/restore-the-array/,62853,133733,No
The k-th Lexicographical String of All Happy Strings of Length n,Medium,https://leetcode.com/problems/the-k-th-lexicographical-string-of-all-happy-strings-of-length-n/,169677,199434,No
Find the Minimum Number of Fibonacci Numbers Whose Sum Is K,Medium,https://leetcode.com/problems/find-the-minimum-number-of-fibonacci-numbers-whose-sum-is-k/,47384,73761,No
Minimum Value to Get Positive Step by Step Sum,Easy,https://leetcode.com/problems/minimum-value-to-get-positive-step-by-step-sum/,181369,279653,No
Find All Good Strings,Hard,https://leetcode.com/problems/find-all-good-strings/,7761,17926,No
Design Underground System,Medium,https://leetcode.com/problems/design-underground-system/,246668,329550,No
Count Number of Teams,Medium,https://leetcode.com/problems/count-number-of-teams/,230380,328766,No
Find Lucky Integer in an Array,Easy,https://leetcode.com/problems/find-lucky-integer-in-an-array/,151742,220140,No
Replace Employee ID With The Unique Identifier,Easy,https://leetcode.com/problems/replace-employee-id-with-the-unique-identifier/,904548,1082052,No
Longest Happy Prefix,Hard,https://leetcode.com/problems/longest-happy-prefix/,62200,128858,No
Check if There is a Valid Path in a Grid,Medium,https://leetcode.com/problems/check-if-there-is-a-valid-path-in-a-grid/,32960,67658,No
Create Target Array in the Given Order,Easy,https://leetcode.com/problems/create-target-array-in-the-given-order/,279420,324272,No
Reducing Dishes,Hard,https://leetcode.com/problems/reducing-dishes/,164338,215500,No
Construct K Palindrome Strings,Medium,https://leetcode.com/problems/construct-k-palindrome-strings/,199937,290871,No
Circle and Rectangle Overlapping,Medium,https://leetcode.com/problems/circle-and-rectangle-overlapping/,21327,43884,No
Count Largest Group,Easy,https://leetcode.com/problems/count-largest-group/,53235,80044,No
Maximum Performance of a Team,Hard,https://leetcode.com/problems/maximum-performance-of-a-team/,101126,212785,No
Find a Corresponding Node of a Binary Tree in a Clone of That Tree,Easy,https://leetcode.com/problems/find-a-corresponding-node-of-a-binary-tree-in-a-clone-of-that-tree/,248726,290131,No
Design a Stack With Increment Operation,Medium,https://leetcode.com/problems/design-a-stack-with-increment-operation/,237820,295576,No
Lucky Numbers in a Matrix,Easy,https://leetcode.com/problems/lucky-numbers-in-a-matrix/,269106,336916,No
Frog Position After T Seconds,Hard,https://leetcode.com/problems/frog-position-after-t-seconds/,34581,97004,No
Time Needed to Inform All Employees,Medium,https://leetcode.com/problems/time-needed-to-inform-all-employees/,237390,394454,No
Number of Times Binary String Is Prefix-Aligned,Medium,https://leetcode.com/problems/number-of-times-binary-string-is-prefix-aligned/,56441,85934,No
Generate a String With Characters That Have Odd Counts,Easy,https://leetcode.com/problems/generate-a-string-with-characters-that-have-odd-counts/,103893,133269,No
Pizza With 3n Slices,Hard,https://leetcode.com/problems/pizza-with-3n-slices/,31155,59151,No
Sort Integers by The Power Value,Medium,https://leetcode.com/problems/sort-integers-by-the-power-value/,107406,152085,No
Cinema Seat Allocation,Medium,https://leetcode.com/problems/cinema-seat-allocation/,53715,126244,No
Find the Distance Value Between Two Arrays,Easy,https://leetcode.com/problems/find-the-distance-value-between-two-arrays/,121772,174240,No
Minimum Cost to Make at Least One Valid Path in a Grid,Hard,https://leetcode.com/problems/minimum-cost-to-make-at-least-one-valid-path-in-a-grid/,148606,210175,No
Linked List in Binary Tree,Medium,https://leetcode.com/problems/linked-list-in-binary-tree/,196829,378839,No
Rank Teams by Votes,Medium,https://leetcode.com/problems/rank-teams-by-votes/,89811,151786,No
How Many Numbers Are Smaller Than the Current Number,Easy,https://leetcode.com/problems/how-many-numbers-are-smaller-than-the-current-number/,654790,752138,No
Movie Rating,Medium,https://leetcode.com/problems/movie-rating/,182243,441763,No
Construct Target Array With Multiple Sums,Hard,https://leetcode.com/problems/construct-target-array-with-multiple-sums/,68921,190231,No
Maximum Number of Events That Can Be Attended,Medium,https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended/,103721,316315,No
Product of the Last K Numbers,Medium,https://leetcode.com/problems/product-of-the-last-k-numbers/,244051,388288,No
Count Negative Numbers in a Sorted Matrix,Easy,https://leetcode.com/problems/count-negative-numbers-in-a-sorted-matrix/,478520,616434,No
Maximum Sum BST in Binary Tree,Hard,https://leetcode.com/problems/maximum-sum-bst-in-binary-tree/,93410,215090,No
Longest ZigZag Path in a Binary Tree,Medium,https://leetcode.com/problems/longest-zigzag-path-in-a-binary-tree/,228635,344381,No
Find the Longest Substring Containing Vowels in Even Counts,Medium,https://leetcode.com/problems/find-the-longest-substring-containing-vowels-in-even-counts/,133884,176631,No
Increasing Decreasing String,Easy,https://leetcode.com/problems/increasing-decreasing-string/,87636,114453,No
Maximum Students Taking Exam,Hard,https://leetcode.com/problems/maximum-students-taking-exam/,19377,37342,No
Tweet Counts Per Frequency,Medium,https://leetcode.com/problems/tweet-counts-per-frequency/,35619,78839,No
Minimum Number of Steps to Make Two Strings Anagram,Medium,https://leetcode.com/problems/minimum-number-of-steps-to-make-two-strings-anagram/,305061,371600,No
Check If N and Its Double Exist,Easy,https://leetcode.com/problems/check-if-n-and-its-double-exist/,552254,1343525,No
Jump Game V,Hard,https://leetcode.com/problems/jump-game-v/,36768,57593,No
Maximum Product of Splitted Binary Tree,Medium,https://leetcode.com/problems/maximum-product-of-splitted-binary-tree/,131401,274741,No
Reduce Array Size to The Half,Medium,https://leetcode.com/problems/reduce-array-size-to-the-half/,211549,306323,No
The K Weakest Rows in a Matrix,Easy,https://leetcode.com/problems/the-k-weakest-rows-in-a-matrix/,391084,529325,No
List the Products Ordered in a Period,Easy,https://leetcode.com/problems/list-the-products-ordered-in-a-period/,203032,282811,No
Count All Valid Pickup and Delivery Options,Hard,https://leetcode.com/problems/count-all-valid-pickup-and-delivery-options/,129211,199183,No
